,0,1
0,brand,90884
1,type,68188
2,material,77871
3,number of settings,9987
4,product type,2793
5,surface finish,1440
6,country/region of manufacture,16565
7,model,32276
8,country of manufacture,2474
9,mpn,25348
10,country/region of origin,26088
11,product+type,57
12,item_package_quantity,5
13,main color,233
14,styling,70
15,pattern,45263
16,upc,4607
17,ean,1702
18,features,909
19,main colour,29
20,modified item,6853
21,care instructions,4
22,custom bundle,6057
23,item subtype,15
24,material/finish,21
25,non-domestic product,3955
26,sub-type,15
27,finish,2649
28,product,1119
29,size,3275
30,productgroup,313
31,publisher,320
32,binding,250
33,packagequantity,16
34,producttypename,19
35,color,4304
36,handle material,13284
37,label,245
38,studio,17
39,manufacturer,3434
40,title,18
41,weight,293
42,isbn,703
43,numberofitems,87
44,partnumber,238
45,dimensions,147
46,sizel x w x h,2
47,plastic type,5
48,production,227
49,quantity,173
50,flatware type,102
51,colors,19
52,shape,23
53,feature,694
54,technique,460
55,number of users,141
56,dinnerware type,193
57,pattern type,563
58,style,2367
59,metal type,217
60,use,202
61,package include,40
62,4 pcs,11
63,piece,946
64,number of pieces,602
65,origin,525
66,brand line,457
67,featured refinements,12
68,composition,134
69,hallmark,57
70,packing,70
71,purity,19
72,bundle description,421
73,aka pattern 2,2
74,aka pattern 1,2
75,bundle listing,2155
76,category,1659
77,years of production,458
78,california prop 65 warning,349
79,metal,86
80,materials,35
81,set includes,52
82,band material,65
83,base metal,53
84,length,1765
85,colour,117
86,shipping weight,722
87,item weight,739
88,product dimensions,534
89,combine shipping,5
90,country//region of manufacture,308
91,bin,2
92,size/length,2
93,tools,21
94,shipping,483
95,applicable regions,45
96,handling time,27
97,object type,111
98,flatware,1545
99,collection,670
100,age,608
101,maker,174
102,tax,536
103,serial number,7
104,bottoms size women's,6
105,bottoms size men's,6
106,format,9
107,year,1073
108,model number,1222
109,manufacturer part number,1010
110,item width,831
111,theme,35
112,compatible brand,2
113,main character,1
114,item model number,370
115,model no.,84
116,pruduct type,4
117,brandsearchterm,136
118,designer/brand,696
119,matierial,197
120,backstamp,51
121,also known as,68
122,suitable for,12
123,package size,28
124,asin,38
125,package weight,37
126,style availability,3
127,item_length,231
128,item_width,232
129,special interest,396
130,series,129
131,special note,752
132,design motif on handle,5
133,style motif,8
134,flatware style,441
135,handle pattern,908
136,utensil material,420
137,stainless steel composition,398
138,service for,437
139,care & cleaning,398
140,design,219
141,production circa,45
142,backside markings,21
143,design motif,59
144,handle color,934
145,please note,85
146,special feature,14
147,package quantity,49
148,commercial use,166
149,lot of 9 salad forks,1
150,modification description,61
151,great for,7
152,perfect for,29
153,string,9
154,circa,119
155,department,29
156,recommendation,10
157,feature 1,153
158,feature 2,89
159,handle motif and style,6
160,handle design motif,2
161,fiinish,24
162,handle,14
163,markings,34
164,dishwasher,52
165,quantity of a set,39
166,style name,24
167,blade edge,1
168,blade length,6
169,blade material,43
170,handle shape,11
171,20-pieces set includes,54
172,handle design,17
173,included,24
174,returns,33
175,no tax,6
176,price,32
177,customer service,49
178,international shipping,30
179,domestic shipping,38
180,vintage stainless flatware,35
181,capacity,16
182,package dimensions,211
183,thickness,7
184,sku,61
185,dishwasher safe,22
186,certification,114
187,fruit & vegetable tools type,4
188,feature5,1
189,feature4,2
190,feature2,11
191,feature3,10
192,feature1,11
193,dinner knife,5
194,dinner fork,10
195,nominal overall length,19
196,salad fork,4
197,teaspoon,3
198,free shipping,31
199,back stamp markings,10
200,prop 65 warning,3
201,pattern style,9
202,designer,40
203,era,20
204,lot of,32
205,occasion,374
206,clean,16
207,polishing process,17
208,stainless flatware lot serving spoons,1
209,assembled product weight,5
210,assembled product dimensions l x w x h,6
211,warning,152
212,monogrammed,2
213,material type,6
214,batteries required,3
215,additional product features,2
216,material free,2
217,number of items,3
218,gift,29
219,tax fee free,5
220,shipping fee free,5
221,height,44
222,width,57
223,shipping speed,4
224,condition,59
225,country////////region of manufacture,5
226,back marking,11
227,country,111
228,number of parts,179
229,year of manufacture,25
230,language,3
231,period,28
232,color family,10
233,cleaning instructions,19
234,stainless steel grade,5
235,returnable,7
236,package type,17
237,color/finish,4
238,service set for,6
239,kitchen product type,19
240,pattern production status,57
241,material of the handle,141
242,serving pieces,24
243,line,105
244,brand.,3
245,type 2,34
246,similar pattern,1
247,manufacturing date,5
248,about size,4
249,tines,1
250,blade,4
251,stocked certification,353
252,type of set,371
253,crafts,353
254,application,292
255,quantity of pack,227
256,part number,22
257,location,23
258,original/reproduction,45
259,ships from,22
260,knife type,10
261,full tang,1
262,serving large spoon soup meat fork,1
263,soup oval large spoon flatware,2
264,flatware flat ware stainless steel,2
265,production status,1
266,sold as,104
267,dinner salad fork soup teaspoons,2
268,chopsticks length,3
269,spoon length,3
270,straw length,12
271,fork length,2
272,brush length,2
273,delivery,41
274,money back,26
275,seller,18
276,quality,38
277,batteries included?,10
278,item package quantity,15
279,batteries required?,11
280,orgin,3
281,original or reproduction,17
282,product quality,1
283,money back  guaranteed,1
284,fast and free service,1
285,item,40
286,can be used as,3
287,features 2,13
288,features 3,3
289,single size,1
290,using,5
291,package included,14
292,track form,7
293,gross weight,1
294,package,31
295,apply to,1
296,color style,6
297,bar tools type,2
298,service,40
299,item material,2
300,oneida patrick henry slotted jelly spoon,1
301,replacement number,54
302,years manufactured,31
303,towle,91
304,tws202 pattern,6
305,tudor plate,2
306,vintage nasco stainless,3
