,0,1
0,mpn,21046
1,brand,41892
2,bed size,19133
3,color,32101
4,pattern,19862
5,room,3457
6,type,25784
7,material,26665
8,threadcount,3129
9,model,10324
10,country of manufacture,713
11,upc,6703
12,country/region of manufacture,12486
13,pillowcase size,10933
14,size,13511
15,style,11604
16,modified item,3339
17,custom bundle,3663
18,non-domestic product,1811
19,thread count,8842
20,bundle description,199
21,ean,4538
22,productgroup,2692
23,dimensions,317
24,binding,907
25,weight,473
26,isbn,2879
27,manufacturer,4138
28,category,1831
29,style name,63
30,theme,1282
31,designer,36
32,model number,506
33,label,2360
34,publisher,2265
35,partnumber,1462
36,item weight,1474
37,package dimensions,696
38,shipping weight,1409
39,manufacture_country,52
40,size type,191
41,item model number,643
42,numberofitems,298
43,set includes,564
44,product line,318
45,stock color,2
46,item width,461
47,item length,561
48,number of items in set,369
49,personalized,634
50,insulation,105
51,features,1965
52,department,1226
53,closure type,100
54,character family,342
55,care instructions,1358
56,fill material,81
57,shape,1061
58,item_length,424
59,item_width,423
60,shipping,789
61,fast shipping,6
62,questions,7
63,delivery,115
64,quality assurance,6
65,product dimensions,795
66,tax,748
67,ts,1
68,gsm grams per square meter,174
69,shipping exclusion,5
70,character,202
71,gender,129
72,quantity,1251
73,designer/brand,2058
74,item condition,58
75,seller,141
76,buyer,15
77,linens,17
78,package quantity,82
79,drop length,127
80,asin,83
81,package size,40
82,unfold size,38
83,origin,109
84,gift,120
85,domestic shipping,109
86,money back,50
87,use,161
88,retail,82
89,returns,99
90,fabrication,5
91,details,5
92,bedsheet dimension,22
93,bedsheet size,144
94,sale for,87
95,product,93
96,used for,86
97,pillow size,102
98,labels & certifications,203
99,life stage,316
100,location,34
101,characters,10
102,care,505
103,product material,397
104,pocket depth,364
105,feel,489
106,weave,442
107,note,186
108,thread count for vizcon,83
109,commercial use,28
110,characteristics,1
111,material type,25
112,exact color,28
113,product type,61
114,ships from,58
115,condition,4
116,dimension,22
117,special features,1
118,https,1
119,handlling time,1
120,item location,37
121,country of origin - components,65
122,manufacturer part number,373
123,assembled product dimensions l x w x h,73
124,modification description,34
125,applicable regions,26
126,multipack quantity,4
127,california prop 65 warning,98
128,producttypesubcategory,57
129,releasedate,43
130,publicationdate,4
131,number of pieces,38
132,returnable,24
133,pattern/theme,24
134,pattern type,34
135,linen type,25
136,lifestage,24
137,decor type,32
138,color family,34
139,bedding material,31
140,certifications and listings,12
141,customer service,87
142,handling time,38
