,0,1
0,filters,5184
1,model,14883
2,country/region of manufacture,3040
3,brand,30521
4,mpn,26220
5,upc,10914
6,style,748
7,type,13136
8,cord type,7685
9,bagged/bagless,6670
10,isbn,4066
11,ean,7993
12,power,2300
13,model no.,81
14,tax,714
15,shipping,885
16,model number,498
17,manufacturer,4469
18,color,6617
19,category,760
20,modified item,2506
21,non-domestic product,1208
22,custom bundle,2881
23,bag/bagless,1042
24,label,1107
25,dimensions,462
26,numberofitems,617
27,weight,782
28,binding,1151
29,productgroup,1260
30,partnumber,809
31,features,5046
32,peak horsepower,307
33,manufacturer warranty,398
34,interior hose diameter in.,205
35,included accessories,1136
36,hose length ft.,273
37,floor care features,379
38,filter type,758
39,cord length ft.,591
40,amperage amps,654
41,air volume cfm,460
42,accessories/parts included,246
43,voltage volts,431
44,vacuum capacity gallons,343
45,product width in.,390
46,product weight lb.,173
47,product height in.,400
48,product depth in.,400
49,certifications and listings,48
50,battery size,95
51,battery power type,64
52,cordless/ corded,197
53,batteries included,42
54,cordless tool type,32
55,motor type,30
56,tools product type,70
57,variable speed,36
58,3.525 x h,1
59,item weight,2479
60,package dimensions,514
61,shipping weight,2408
62,bundle listing,681
63,customer service,138
64,size,802
65,product line,5
66,batteries,796
67,voltage,1461
68,product dimensions,2062
69,item model number,1770
70,publisher,1069
71,releasedate,168
72,california prop 65 warning,271
73,department,228
74,item_width,853
75,item_length,907
76,free shipping,41
77,shipping from usa,14
78,free shipping return,14
79,no sale tax,14
80,runtime,244
81,charge time,217
82,amplifier type,1
83,compatible guitar,1
84,manufacturerpartnumber,13
85,assembled product dimensions l x w x h,180
86,recommended surface,202
87,manufacturer part number,865
88,manufacturer_part_number,65
89,bagbagless,8
90,color category,128
91,item location,53
92,amperage,136
93,wattage,270
94,motor warranty,69
95,location,21
96,manufacturer product id,20
97,manufacturer name,20
98,warranty,230
99,ship from,20
100,catalognumberlist,5
101,studio,27
102,producttypename,27
103,date first available,30
104,cover included,16
105,special features,144
106,model #,146
107,size name,23
108,cleaning range with toolsft.,42
109,assembly required,109
110,color family,698
111,input voltage,97
112,car vacuum cleaner,4
113,suction,57
114,returnable,444
115,batteries included?,162
116,batteries required?,175
117,part number,205
118,item package quantity,195
119,usage,115
120,material,480
121,accessoriesparts included,39
122,safe for use on,295
123,tank capacity,13
124,voltage v,146
125,smart home compatibility,145
126,power w,27
127,certification,78
128,smart home protocol,199
129,function,31
130,installation,33
131,use,239
132,price,77
133,seller,168
134,gift,175
135,international shipping,238
136,origin,133
137,domestic shipping,276
138,delivery,180
139,money back,115
140,asin,158
141,cordless,52
142,surface type,129
143,product type,234
144,intelligently navigates your home,2
145,dual multi-surface brushes,2
146,home base charging station,2
147,configuration,34
148,category type,13
149,runs for up to 90 minutes,2
150,irobot roomba 675,2
151,robot weight,8
152,robot dimensions,7
153,works with amazon alexa,2
154,irobot limited warranty north america,2
155,and suctions dirt from your floors,2
156,1 flat cleaning tool,2
157,duster crevice tool,4
158,battery warranty,2
159,pet multi-tool,2
160,multiflex under-appliance wand,3
161,charging dock,2
162,vacuum warranty,2
163,maximum dirt capacity,2
164,anti-allergen dust brush,3
165,shipping advisory,38
166,width inches,7
167,vacuum type,55
168,compliance-ca prop 65 chemical,2
169,height inches,6
170,length inches,5
171,payment,11
172,shipping cost,16
173,processing time,4
174,shipping & handling,4
175,power source,199
176,capacity,468
177,battery,61
178,run time,14
179,nominal capacity,1
180,bag/without bag,160
181,colour main,185
182,pieces included,33
183,product size,127
184,energy rating,72
185,name style,18
186,weight of the product,165
187,noise,210
188,time of works,9
189,dimensions of the product,131
190,special suction nozzle,27
191,dust storage type,22
192,product tax,30
193,product shipping,28
194,size type,73
195,edition,3
196,bundle description,234
197,energy efficiency,31
198,with bag/bagless,20
199,name,7
200,hepa filter size,4
201,foam & felt filter size,4
202,protocol house connected,7
203,dimensions of the package,36
204,announcement of set,5
205,filter,25
206,time of charging,4
207,amount of pieces,7
208,supply power,10
209,type cable,18
210,dirt capture,108
211,language,13
212,feature,40
213,sku,71
